Response variable,Sample core depth slice,Mean_After_control,Term_var_After_control,Value_var_After_control,SD_After_control,n_After_control,article_id,article_type_id,Trawled/untrawled,Before/After,Experimental/observational,Study type,Harmonized_study type,Location,Region,Longhurst province,Latitude_study,Longitude_study,Water depth (m),Trawling effort_numerical_harmonized,Trawling_effort_GFW,Model_Chl_bottom (mg/m3),Model_Current_velocity (m/s),Model_Dissolved_Oxygen (mol/m3), Model_NO3_bottom (mol/m3),Model_PO4_bottom (mol/m3),Model_Sal_bottom,Model_Silicate_bottom (mol/m3),Model_Temp_bottom,Model_NPP_surface (g/m3/day),dist_shore (m),Time since trawl (days),Time since first disturbance (years),Habitat type_harmonized,Seasonality_harmonized,Trawling gear type_harmonized,Historically fished,Trawling effort_categorical,Trawling effort_units_harmonized,Control_historically_trawled,Mean_After_impact,Term_var_After_impact,Value_var_After_impact,SD_After_impact,n_After_impact,Mean_Before_impact,Term_var_Before_impact,Value_var_Before_impact,SD_Before_impact,n_Before_impact,Mean_Before_control,Term_var_Before_control,Value_var_Before_control,SD_Before_control,n_Before_control
TC,3-4,2.3131975,SD,2.006348316,2.006348316,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,4.9677,SD,,,1,,,,,,,,,,
Gravel,3-4,0,SD,0,0,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,0,SD,,,1,,,,,,,,,,
TIC,3-4,2.826995,SD,0.021199256,0.021199256,1,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,3.05535,SD,,,1,,,,,,,,,,
TOC,4-5,0.884300769,SD,0.015028199,0.015028199,3,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,0.684835,SD,,,1,,,,,,,,,,
TN,4-5,0.0469075,SD,0.02354312,0.02354312,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,0.320325,SD,,,1,,,,,,,,,,
TOC/TN,4-5,21.73353147,SD,10.7768746,10.7768746,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,2.137938032,SD,,,1,,,,,,,,,,
Dry bulk density,4-5,0.721078364,SD,0.030233563,0.030233563,3,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,0.987868798,SD,,,1,,,,,,,,,,
Sand,4-5,1.627,SD,1.390171932,1.390171932,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,1.163,SD,,,1,,,,,,,,,,
Mud content (< 63 µm),4-5,98.3755,SD,1.392293252,1.392293252,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,98.838,SD,,,1,,,,,,,,,,
Silt ,4-5,69.2825,SD,0.412243253,0.412243253,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,67.627,SD,,,1,,,,,,,,,,
Clay ,4-5,29.093,SD,1.804536506,1.804536506,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,31.211,SD,,,1,,,,,,,,,,
TC,4-5,2.2881,SD,1.979686855,1.979686855,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,3.2856,SD,,,1,,,,,,,,,,
Gravel,4-5,0,SD,0,0,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,0,SD,,,1,,,,,,,,,,
TIC,4-5,2.79099,SD,0.018664544,0.018664544,1,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,2.600765,SD,,,1,,,,,,,,,,
Total Pb-210,4-5,236.263818,,11.03303258,11.03303258,1,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,41.2128046,,2.349260448,2.349260448,1,,,,,,,,,,
TOC,5-6,0.879878718,SD,0.022910182,0.022910182,3,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,0.69681,SD,,,1,,,,,,,,,,
TN,5-6,0.0508525,SD,0.013707265,0.013707265,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,0.28755,SD,,,1,,,,,,,,,,
TOC/TN,5-6,18.23629724,SD,5.028910639,5.028910639,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,2.423265519,SD,,,1,,,,,,,,,,
Dry bulk density,5-6,0.729282019,SD,0.056933667,0.056933667,3,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,1.027986871,SD,,,1,,,,,,,,,,
Sand,5-6,0.901,SD,1.117228714,1.117228714,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,1.901,SD,,,1,,,,,,,,,,
Mud content (< 63 µm),5-6,99.1025,SD,1.11369318,1.11369318,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,98.104,SD,,,1,,,,,,,,,,
Silt ,5-6,71.418,SD,1.985555842,1.985555842,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,70.227,SD,,,1,,,,,,,,,,
Clay ,5-6,27.6845,SD,0.871862661,0.871862661,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,27.877,SD,,,1,,,,,,,,,,
Excess Pb-210,5-6,216.2423053,SD,30.43680716,30.43680716,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,12.15584444,,6.698470316,6.698470316,1,,,,,,,,,,
TC,5-6,2.27591,SD,1.96164149,1.96164149,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,3.31615,SD,,,1,,,,,,,,,,
Gravel,5-6,0,SD,0,0,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,0,SD,,,1,,,,,,,,,,
TIC,5-6,2.76603,SD,0.029407945,0.029407945,1,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,2.61934,SD,,,1,,,,,,,,,,
Total Pb-210,5-6,224.7202326,,12.64657133,12.64657133,1,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,47.08831631,,2.787443129,2.787443129,1,,,,,,,,,,
TOC,6-7,0.878135641,SD,0.013594828,0.013594828,3,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,0.687065,SD,,,1,,,,,,,,,,
TN,6-7,,, , ,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,0.23599,SD,,,1,,,,,,,,,,
TOC/TN,6-7,,SD,,,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,2.911415738,SD,,,1,,,,,,,,,,
Dry bulk density,6-7,0.754831619,SD,0.028690384,0.028690384,3,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,1.05616132,SD,,,1,,,,,,,,,,
Sand,6-7,1.332,SD,0.561442784,0.561442784,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,3.74,SD,,,1,,,,,,,,,,
Mud content (< 63 µm),6-7,98.6705,SD,0.563564105,0.563564105,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,96.261,SD,,,1,,,,,,,,,,
Silt ,6-7,72.2555,SD,3.045508907,3.045508907,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,67.406,SD,,,1,,,,,,,,,,
Clay ,6-7,26.415,SD,2.481944802,2.481944802,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,28.855,SD,,,1,,,,,,,,,,
TC,6-7,2.2951525,SD,1.987885758,1.987885758,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,3.20725,SD,,,1,,,,,,,,,,
Gravel,6-7,0,SD,0,0,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,0,SD,,,1,,,,,,,,,,
TIC,6-7,2.818975,SD,0.005333034,0.005333034,1,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,2.520185,SD,,,1,,,,,,,,,,
TOC,7-8,0.881745128,SD,0.006587257,0.006587257,3,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,0.703845,SD,,,1,,,,,,,,,,
TN,7-8,0.055345,SD,0.017925157,0.017925157,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,0.345085,SD,,,1,,,,,,,,,,
TOC/TN,7-8,16.87161203,SD,5.405739862,5.405739862,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,2.039627918,SD,,,1,,,,,,,,,,
Dry bulk density,7-8,0.746072154,SD,0.056434217,0.056434217,3,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,1.064032233,SD,,,1,,,,,,,,,,
Sand,7-8,1.254,SD,0.903682466,0.903682466,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,2.932,SD,,,1,,,,,,,,,,
Mud content (< 63 µm),7-8,98.7465,SD,0.904389573,0.904389573,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,97.07,SD,,,1,,,,,,,,,,
Silt ,7-8,70.545,SD,1.127128209,1.127128209,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,69.161,SD,,,1,,,,,,,,,,
Clay ,7-8,28.2015,SD,0.222738636,0.222738636,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,27.909,SD,,,1,,,,,,,,,,
TC,7-8,2.2789275,SD,1.967627149,1.967627149,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,3.1884,SD,,,1,,,,,,,,,,
Gravel,7-8,0,SD,0,0,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,0,SD,,,1,,,,,,,,,,
TIC,7-8,2.787235,SD,0.006225516,0.006225516,1,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,2.484555,SD,,,1,,,,,,,,,,
Total Pb-210,7-8,237.5740872,,11.61422924,11.61422924,1,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,35.48465167,,2.208530692,2.208530692,1,,,,,,,,,,
TOC,8-9,0.881435769,SD,0.038725171,0.038725171,3,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,0.719125,SD,,,1,,,,,,,,,,
TN,8-9,0.0549125,SD,0.017377149,0.017377149,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,0.285895,SD,,,1,,,,,,,,,,
TOC/TN,8-9,17.3514776,SD,5.69777163,5.69777163,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,2.515346543,SD,,,1,,,,,,,,,,
Dry bulk density,8-9,0.743128345,SD,0.044850528,0.044850528,3,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,1.05134455,SD,,,1,,,,,,,,,,
Sand,8-9,2.317,SD,0.766503751,0.766503751,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,2.008,SD,,,1,,,,,,,,,,
Mud content (< 63 µm),8-9,97.6865,SD,0.76438243,0.76438243,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,97.997,SD,,,1,,,,,,,,,,
Silt ,8-9,70.4265,SD,0.143542677,0.143542677,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,71.624,SD,,,1,,,,,,,,,,
Clay ,8-9,27.26,SD,0.620839754,0.620839754,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,26.373,SD,,,1,,,,,,,,,,
TC,8-9,2.27522,SD,1.928817593,1.928817593,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,3.26725,SD,,,1,,,,,,,,,,
Gravel,8-9,0,SD,0,0,2,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,0,SD,,,1,,,,,,,,,,
TIC,8-9,2.743825,SD,0.016830961,0.016830961,1,69,69,Control,After,Observational,Control Impact,Comparative control impact,Palamos Canyon,NW Mediterranean Sea,Mediterranean Sea,41.85018182,3.352636364,463,,628.200989,0.06542262,0.0477846,221.533403,2.67906524,0.19758689,38.4891308,2.85254157,13.4072873,0.0031619,13383,,,Mud,Autumn,Otter Trawl,TRUE,,,0,2.548125,SD,,,1,,,,,,,,,,
