article_id,article_type_id,Experimental/observational,Study type,Harmonized_study type,Location,Region,Longhurst province,Habitat type_harmonized,Seasonality_harmonized,Trawling gear type_harmonized,Latitude_study_site,Longitude_study_site,Water depth (m),Sample core depth slice,Response variable,Mean_After_control,Term_var_After_control,Value_var_After_control,SD_After_control,n_After_control,Mean_Before_control,Term_var_Before_control,Value_var_Before_control,SD_Before_control,n_Before_control,Mean_Before_impact,Term_var_Before_impact,Value_var_Before_impact,SD_Before_impact,n_Before_impact,Mean_After_impact,Term_var_After_impact,Value_var_After_impact,SD_After_impact,n_After_impact,Time since trawl (days),Trawling effort_numerical_harmonized,Trawling effort_units_harmonized,Trawling_effort_GFW,Time since first disturbance (years),Historically fished,Model_Chl_bottom (mg/m3),Model_Current_velocity (m/s),Model_Dissolved_Oxygen (mol/m3), Model_NO3_bottom (mol/m3),Model_PO4_bottom (mol/m3),Model_Sal_bottom,Model_Silicate_bottom (mol/m3),Model_Temp_bottom,Model_NPP_surface (g/m3/day),dist_shore (m)
5,5,Observational,Control Impact,Comparative trawl vs control,Palamos Canyon,NW Mediterranean,Mediterranean Sea,Deep mud,Temperate summer,Otter Trawl,41.86744429,3.373933729,494,0-1,TN,0.110214533,SD,,0,1,,,,,,,,,,,0.100991398,SD,,0,1,0,54,y-1,671.91803,,1,0.01251521,0.03689,196.199257,7.23304296,0.37718099,38.4768682,7.10979299,13.1311907,0.00284593,21417.5996
5,5,Observational,Control Impact,Comparative trawl vs control,Palamos Canyon,NW Mediterranean,Mediterranean Sea,Deep mud,Temperate summer,Otter Trawl,41.86744429,3.373933729,494,0-1,TOC/TN,9.907069788,SD,,0,1,,,,,,,,,,,9.258159873,SD,,0,1,0,54,y-1,671.91803,,1,0.01251521,0.03689,196.199257,7.23304296,0.37718099,38.4768682,7.10979299,13.1311907,0.00284593,21417.5996
5,5,Observational,Control Impact,Comparative trawl vs control,Palamos Canyon,NW Mediterranean,Mediterranean Sea,Deep mud,Temperate autumn,Otter Trawl,41.86744429,3.373933729,492,0-1,TOC,0.833277858,SD,,0,1,,,,,,,,,,,0.582515119,SD,,0,1,0,54,y-1,657.374023,,1,0.01272206,0.0367358,196.263388,7.21621807,0.37657011,38.4768441,7.08921309,13.132031,0.0028478,21244.3008
5,5,Observational,Control Impact,Comparative trawl vs control,Palamos Canyon,NW Mediterranean,Mediterranean Sea,Deep mud,Temperate autumn,Otter Trawl,41.86744429,3.373933729,492,0-1,TC,3.675744971,SD,,0,1,,,,,,,,,,,4.378346296,SD,,0,1,0,54,y-1,657.374023,,1,0.01272206,0.0367358,196.263388,7.21621807,0.37657011,38.4768441,7.08921309,13.132031,0.0028478,21244.3008
5,5,Observational,Control Impact,Comparative trawl vs control,Palamos Canyon,NW Mediterranean,Mediterranean Sea,Deep mud,Temperate autumn,Otter Trawl,41.86744429,3.373933729,492,0-1,Mud content (< 63 µm),97.44,SD,,0,1,,,,,,,,,,,90.65,SD,,0,1,0,54,y-1,657.374023,,1,0.01272206,0.0367358,196.263388,7.21621807,0.37657011,38.4768441,7.08921309,13.132031,0.0028478,21244.3008
5,5,Observational,Control Impact,Comparative trawl vs control,Palamos Canyon,NW Mediterranean,Mediterranean Sea,Deep mud,Temperate autumn,Otter Trawl,41.86744429,3.373933729,492,0-1,Sand,2.56,SD,,0,1,,,,,,,,,,,9.35,SD,,0,1,0,54,y-1,657.374023,,1,0.01272206,0.0367358,196.263388,7.21621807,0.37657011,38.4768441,7.08921309,13.132031,0.0028478,21244.3008
5,5,Observational,Control Impact,Comparative trawl vs control,Palamos Canyon,NW Mediterranean,Mediterranean Sea,Deep mud,Temperate autumn,Otter Trawl,41.86744429,3.373933729,492,0-1,Silt ,78.34,SD,,0,1,,,,,,,,,,,68.25,SD,,0,1,0,54,y-1,657.374023,,1,0.01272206,0.0367358,196.263388,7.21621807,0.37657011,38.4768441,7.08921309,13.132031,0.0028478,21244.3008
5,5,Observational,Control Impact,Comparative trawl vs control,Palamos Canyon,NW Mediterranean,Mediterranean Sea,Deep mud,Temperate autumn,Otter Trawl,41.86744429,3.373933729,492,0-1,Clay ,19.1,SD,,0,1,,,,,,,,,,,22.4,SD,,0,1,0,54,y-1,657.374023,,1,0.01272206,0.0367358,196.263388,7.21621807,0.37657011,38.4768441,7.08921309,13.132031,0.0028478,21244.3008
5,5,Observational,Control Impact,Comparative trawl vs control,Palamos Canyon,NW Mediterranean,Mediterranean Sea,Deep mud,Temperate autumn,Otter Trawl,41.86744429,3.373933729,492,0-1,TN,0.113643927,SD,,0,1,,,,,,,,,,,0.075412744,SD,,0,1,0,54,y-1,657.374023,,1,0.01272206,0.0367358,196.263388,7.21621807,0.37657011,38.4768441,7.08921309,13.132031,0.0028478,21244.3008
5,5,Observational,Control Impact,Comparative trawl vs control,Palamos Canyon,NW Mediterranean,Mediterranean Sea,Deep mud,Temperate autumn,Otter Trawl,41.86744429,3.373933729,492,0-1,TOC/TN,8.554416659,SD,,0,1,,,,,,,,,,,9.011752355,SD,,0,1,0,54,y-1,657.374023,,1,0.01272206,0.0367358,196.263388,7.21621807,0.37657011,38.4768441,7.08921309,13.132031,0.0028478,21244.3008
5,5,Observational,Control Impact,Comparative trawl vs control,Palamos Canyon,NW Mediterranean,Mediterranean Sea,Deep mud,Temperate spring,Otter Trawl,41.86744429,3.373933729,491,0-1,TOC,0.784750284,SD,,0,1,,,,,,,,,,,0.553376075,SD,,0,1,0,54,y-1,666.427979,,1,0.01265265,0.0366984,196.210372,7.22460815,0.37690477,38.4768004,7.0964978,13.1315274,0.00284818,21222.5
